Dataset,Method,Accuracy,Accuracy std,F1,F1 std,AUC,AUC std
tic-tac-toe,RW-MLP,0.9427083333333334,0.029919597117385576,0.9578593084501602,0.021692465699106076,0.9859547859547859,0.015150827992388675
tic-tac-toe,Linear-MLP,0.80625,0.056902084515615264,0.8591931493293471,0.04019523292754278,0.8607984607984609,0.07100231865857244
tic-tac-toe,FT-Transformer,0.996875,0.004773516348912317,0.9976125984251969,0.0036469612173222025,0.9999518999518999,0.00014430014430012462
tic-tac-toe,RW-FT-Transformer,0.9958333333333333,0.00510310363079827,0.9968503937007874,0.003857464161863266,0.9999037999037999,0.00028860028860028253
tic-tac-toe,RTDL-ResNet,0.996875,0.004773516348912317,0.9976377952755906,0.00360832731886286,1.0,0.0
tic-tac-toe,RW-ResNet,0.9968750000000002,0.004773516348912317,0.9976251968503936,0.003627717574545954,1.0,0.0
tic-tac-toe,NODE,0.9177083333333333,0.04019537787828071,0.9398202842837728,0.02810287235774062,0.9525252525252524,0.04522379209874708
tic-tac-toe,RW-NODE,0.7770833333333333,0.08387842557998915,0.8484310602588216,0.050782969601146706,0.8110630110630112,0.09028798004158989
vehicle,XGBoost,0.7588235294117647,0.03460103804671233,0.7572844540792769,0.03746985336495085,0.9291853250915751,0.015027549139044609
vehicle,CatBoost,0.7411764705882352,0.04935571050212479,0.7359579675697902,0.05170710265245824,0.9289673156704407,0.014590470611563862
vehicle,LightGBM,0.768235294117647,0.034919581363896064,0.7678652459147915,0.03502240220521343,0.9316970720251971,0.012057719320373958
vehicle,RandomForest,0.7588235294117647,0.04015540744912004,0.751290741832233,0.042021837172887405,0.930521756021756,0.015213878822047984
vehicle,MLP,0.8200000000000001,0.04736664032752327,0.8194836511742155,0.04729297502784723,0.9521144948801199,0.018046071490788816
vehicle,RW-MLP,0.8223529411764707,0.05453800934823182,0.821142702434412,0.05526207291235932,0.9552925026362526,0.01967111255626689
vehicle,Linear-MLP,0.7882352941176471,0.06044815331136532,0.7864769462825021,0.06225336536571094,0.9441511127761126,0.02467811177245363
vehicle,FT-Transformer,0.7447058823529412,0.022963789759933094,0.7396885237316201,0.023959177072881106,0.9296495795870797,0.0093674293863784
vehicle,RW-FT-Transformer,0.776470588235294,0.05739440431835513,0.7702040184741575,0.06328996287910867,0.9415612737956488,0.017596861929127267
vehicle,RTDL-ResNet,0.8494117647058823,0.03712878550131647,0.8483758894361078,0.037593085097100895,0.9672467584498834,0.011009486613403528
vehicle,RW-ResNet,0.8576470588235295,0.02259926201446888,0.8573969786241804,0.022404004376394684,0.9681071203102454,0.010260859156567239
vehicle,NODE,0.7976470588235295,0.04169422387451612,0.7947284453780322,0.04179405947814796,0.9437266327422578,0.012408755340247327
vehicle,RW-NODE,0.8094117647058823,0.047875270469119525,0.8097393902568519,0.046220733940502204,0.9544061754218005,0.013139975071530906
electricity,XGBoost,0.8549,0.007712976079309472,0.826050074480505,0.010246642360185795,0.9329448524753647,0.004798863445663513
electricity,CatBoost,0.8268999999999999,0.006803675477269627,0.7887201125146346,0.009221872313377082,0.9063284982691041,0.007192146633702062
electricity,LightGBM,0.851,0.006033241251599347,0.8220800478798799,0.007725528669668339,0.9312679066992,0.005352654952504066
electricity,RandomForest,0.8241999999999999,0.011258774356030041,0.7802434772669247,0.014728787613313515,0.9089536561341557,0.00663064402823533
electricity,MLP,0.8099000000000001,0.009575489543621226,0.7704666619349283,0.010319382332883275,0.8877222882973463,0.008679634650495063
electricity,RW-MLP,0.8109999999999999,0.012649110640673488,0.7724297398654405,0.016661248983979235,0.8893796158923616,0.0109717531900031
electricity,Linear-MLP,0.7947000000000001,0.009899999999999989,0.7441482026640969,0.014239587142517152,0.8716378320274982,0.008554127695355612
electricity,FT-Transformer,0.8107,0.010677546534667936,0.7733332107308989,0.012093467164499508,0.8918392453539651,0.012535371276543987
electricity,RW-FT-Transformer,0.8109,0.010415853301578286,0.7709018292611582,0.016570619238174808,0.8908857200076838,0.010416060481489494
electricity,RTDL-ResNet,0.807,0.01213260071048245,0.7658117885395637,0.014692256742842233,0.8869535008235548,0.010917047701021683
electricity,RW-ResNet,0.8107000000000001,0.013401865541781832,0.7711789944883735,0.014626780214149456,0.8867397443914481,0.012233920629987637
electricity,NODE,0.7931,0.011370576062803513,0.7448882562309511,0.014342391516129514,0.8683419775944022,0.009729597604286632
electricity,RW-NODE,0.7984,0.01140350823211873,0.7520747310426563,0.013963945331925008,0.8724609782115575,0.010800669862320846
eucalyptus,XGBoost,0.6169230769230769,0.05349334969450373,0.6017232114696905,0.060356669092308544,0.8859433574972038,0.018871492057343203
eucalyptus,CatBoost,0.6492307692307693,0.049518390582864884,0.6296765747022911,0.0521581914806209,0.9038713150097765,0.018090919391209225
eucalyptus,LightGBM,0.643076923076923,0.048063074928656344,0.638536674689068,0.05509680223155524,0.8902327643866107,0.014800110526061701
eucalyptus,RandomForest,0.6153846153846153,0.04351426345763371,0.595801685251738,0.04501546268639798,0.8978210262671802,0.021133696647530224
eucalyptus,MLP,0.6384615384615385,0.04973301500075265,0.6154381590626892,0.053672680771245186,0.9081393660470584,0.022146319686085447
eucalyptus,RW-MLP,0.6399999999999999,0.050183096708615656,0.6115533022376426,0.06270654794151463,0.9088391437622206,0.022253403614988437
eucalyptus,Linear-MLP,0.623076923076923,0.04472135954999581,0.5963966444926668,0.051387058966225654,0.899508734570273,0.02413708129066881
eucalyptus,FT-Transformer,0.6430769230769231,0.03879852373205689,0.6288144102477106,0.052165228826017575,0.9091744517590671,0.01782541620283335
eucalyptus,RW-FT-Transformer,0.6323076923076922,0.04587092774115561,0.6095389120016507,0.051432826107977385,0.9094736978121594,0.01622402790584026
eucalyptus,RTDL-ResNet,0.6384615384615385,0.06352560868326947,0.6173080838712411,0.06081126769765886,0.902546403454096,0.02082039702446423
eucalyptus,RW-ResNet,0.6323076923076922,0.04739360554076728,0.6112059634401373,0.05097437983862573,0.903897304974228,0.02070053957219954
eucalyptus,NODE,0.6292307692307691,0.04535200914764207,0.600285410166864,0.04873561951128629,0.9060931068931068,0.014339977057338815
eucalyptus,RW-NODE,0.6138461538461539,0.027905164841872415,0.5865587480220028,0.03669848310987445,0.9029381814766431,0.015416918637731564
analcatdata_authorship,XGBoost,0.9811764705882353,0.014117647058823547,0.9821198054141933,0.014648859465962246,0.9990464772504704,0.0013377573585446828
analcatdata_authorship,CatBoost,0.9729411764705883,0.01396981422004462,0.9718281871501464,0.018049534775003626,0.9989802328344817,0.0011766772264673638
analcatdata_authorship,LightGBM,0.983529411764706,0.01680336100833613,0.9877778354812591,0.012668358157758448,0.9994338414585894,0.000705237621662858
analcatdata_authorship,RandomForest,0.9823529411764707,0.017647058823529422,0.9843966952744335,0.015765840089912407,0.9996371693983314,0.00046186552135694194
analcatdata_authorship,MLP,0.991764705882353,0.009188529030478421,0.9939831636784096,0.006971757183752729,0.99992506432247,0.0001810856194730137
analcatdata_authorship,RW-MLP,0.9905882352941177,0.010256232808331005,0.9903247418972658,0.011747115102519716,0.9998298823994334,0.00031698975729910987
analcatdata_authorship,Linear-MLP,0.9929411764705882,0.0078038230361303475,0.9932809918000249,0.010132540755713362,0.9999099128073186,0.0001924946164667674
analcatdata_authorship,FT-Transformer,0.991764705882353,0.010588235294117638,0.992468008539331,0.012421928983612334,0.9993305409566713,0.0009823268180822594
analcatdata_authorship,RW-FT-Transformer,0.9929411764705882,0.009411764705882359,0.9932797313914898,0.010756680821302503,0.9994156660949114,0.0012070218885295
analcatdata_authorship,RTDL-ResNet,0.9952941176470589,0.005763505277136869,0.9967699886788524,0.003955943379032475,0.9999549564036592,9.592770048742129e-05
analcatdata_authorship,RW-ResNet,0.991764705882353,0.010588235294117657,0.9939768418801147,0.00785797173607226,0.9999095018582047,0.00013824226712828204
analcatdata_authorship,NODE,0.9929411764705882,0.009411764705882359,0.9932746700017301,0.010761125673642527,0.9998947612921668,0.0002329401393017568
analcatdata_authorship,RW-NODE,0.9823529411764707,0.009485009115645367,0.9875531783785991,0.006372229459406889,0.9997907554316752,0.00026902873070328015
analcatdata_dmft,XGBoost,0.18,0.03363406011768427,0.17515537598252254,0.0374936066587742,0.5363514805873397,0.03974474152593697
analcatdata_dmft,CatBoost,0.19249999999999998,0.05367727638395972,0.18603420217761196,0.052880882012487244,0.5482796951551453,0.04011283537000771
analcatdata_dmft,LightGBM,0.2,0.03491060010942235,0.19327552004077392,0.03268120023434158,0.53371078258287,0.03229073077696185
analcatdata_dmft,RandomForest,0.17124999999999999,0.03309550573718432,0.16575327933544248,0.031731949921504646,0.5172416710717209,0.03867704007836235
analcatdata_dmft,MLP,0.20625,0.024526771087935727,0.17365757946373575,0.025400440642664033,0.5665584398192112,0.028015845720073585
analcatdata_dmft,RW-MLP,0.20750000000000002,0.021794494717703363,0.17123460502891855,0.02689092706589051,0.5663824427076397,0.02791630470618606
analcatdata_dmft,Linear-MLP,0.20125,0.040485336851754115,0.16517185927810035,0.04100190226991177,0.5472223543180796,0.036406307500448765
analcatdata_dmft,FT-Transformer,0.20750000000000002,0.03799671038392666,0.17876001650790724,0.04179616985801334,0.5675922589545893,0.028040441360723787
analcatdata_dmft,RW-FT-Transformer,0.20249999999999999,0.03482097069296029,0.17182614529554424,0.03676490297035771,0.565434260174648,0.03246117900628639
analcatdata_dmft,RTDL-ResNet,0.215,0.024874685927665497,0.203494514300051,0.02220964672172192,0.5748047162579726,0.019725900914268214
analcatdata_dmft,RW-ResNet,0.21374999999999997,0.02928843628464995,0.2007911826792986,0.02670941382954476,0.574682276907429,0.018871526358199196
analcatdata_dmft,NODE,0.205,0.021065374432940896,0.1632999838845582,0.032134704559438405,0.5564601671336138,0.031382549500800855
