dataset,method,r2_mean,r2_std,rmse_mean,rmse_std
wine-quality-white,TabNet,0.9664662233942971,0.04003458392985667,4224.212177260122,3296.6889427697324
wine-quality-white,RW-TabNet,0.9288886389583497,0.10021108946281476,6239.049128709336,4300.637918265185
diamonds,RTDL-ResNet,0.9780185128482236,0.003985338358830779,585.4973402703824,51.36525590887311
diamonds,RW-ResNet,0.9777997370356614,0.004320502643470188,588.1764920483982,55.44666675341876
diamonds,NODE,0.941107097540242,0.007277708983247354,959.8691483600927,49.59806874944714
diamonds,RW-NODE,0.9425886610346492,0.007582819705550746,947.3507544222709,51.163574830895584
diamonds,TabNet,0.9544779479693203,0.014153653138587659,834.8366771748172,106.88779248275875
diamonds,RW-TabNet,0.9562520440655746,0.013178421228434984,819.2730884100087,115.26986755783382
Mercedes_Benz_Greener_Manufacturing,RTDL-ResNet,0.7217129984706667,0.15870119603163238,40552.8665665558,11823.510789526586
Mercedes_Benz_Greener_Manufacturing,RW-ResNet,0.7339294293797448,0.16509998150867006,39637.84898075898,12163.109025417245
Mercedes_Benz_Greener_Manufacturing,NODE,0.844173244456309,0.049767789727155176,31450.054359834154,7417.638215906637
Mercedes_Benz_Greener_Manufacturing,RW-NODE,0.8427308701754717,0.05080188289884044,31634.689344257396,7489.819242586562
Mercedes_Benz_Greener_Manufacturing,TabNet,0.69063363199746,0.17089061504302727,42971.69196316374,11392.49045687415
Mercedes_Benz_Greener_Manufacturing,RW-TabNet,0.6726377749206479,0.16127322485693196,44168.053501475864,11618.550489184881
Brazilian_houses,RTDL-ResNet,0.5155564473126265,0.06574101916642221,8.65578134972468,1.2973086492056158
Brazilian_houses,RW-ResNet,0.5228396880814374,0.07077858534396614,8.592389012677186,1.3529403073043804
Brazilian_houses,NODE,0.5560752661196237,0.06718529751768046,8.288212315568295,1.318890794787071
Brazilian_houses,RW-NODE,0.5469873401644503,0.06705194885586203,8.37291566280021,1.3196306007236596
Brazilian_houses,TabNet,0.5229588345272437,0.07649639553191158,8.587783509232048,1.3823686597945597
Brazilian_houses,RW-TabNet,0.4807897001755433,0.1573652195674263,8.892402776641461,1.6454713724849892
Bike_Sharing_Demand,RTDL-ResNet,0.42356845049602254,0.07002641163754939,2353.504505324786,465.95612361322304
Bike_Sharing_Demand,RW-ResNet,0.426266566468279,0.06563001522616782,2346.349823981044,449.6861269798983
Bike_Sharing_Demand,NODE,0.4655723687197977,0.07757607482285717,2272.50074314614,502.61856721838285
Bike_Sharing_Demand,RW-NODE,0.45401829137676186,0.0734045549389827,2296.636789044462,498.3759549723488
Bike_Sharing_Demand,TabNet,0.42930806930287835,0.07533803313013475,2346.8036592740395,502.2222540646628
Bike_Sharing_Demand,RW-TabNet,0.3820371757747509,0.07282631525220364,2431.980270387589,451.0100826868496
abalone,RTDL-ResNet,0.9919422363427641,0.00776505645678194,709.0394830067047,855.6184756754169
abalone,RW-ResNet,0.996715101556995,0.0017909499805581356,457.00055263332126,509.5896443078956
abalone,NODE,0.78607341661346,0.2772798563037909,5327.182682548498,10106.505340504069
abalone,RW-NODE,0.859207382791214,0.26987412898002905,4546.020915198025,10155.587737139675
abalone,TabNet,0.7855771407510042,0.1261206133754963,4305.429182602539,6033.378091165312
abalone,RW-TabNet,0.5698438944491087,0.8054764998406203,3472.555977950588,3912.816633737307
us_crime,RTDL-ResNet,0.5693483918665587,0.04587345872312383,2.1223469792022422,0.16530786515862622
us_crime,RW-ResNet,0.5791203555212433,0.03731840947851422,2.0995584204339326,0.16178206587381136
us_crime,NODE,0.5549285835209161,0.02080529327648182,2.1613526689581244,0.15674658384601312
us_crime,RW-NODE,0.5809473267991484,0.02545397902563875,2.095147473535545,0.1328931027146386
us_crime,TabNet,0.54971583825499,0.0330633069283919,2.173665653149679,0.17814197439016305
us_crime,RW-TabNet,0.543047588080151,0.04194164076344897,2.186611979003712,0.15825077197866705
