Dataset,Method,R²,R² std,RMSE,RMSE std,MAE,MAE std,Spearman,Spearman std
quake,RW-MLP,-0.000797626709073751,0.019668643042647337,0.1848637569161677,0.011539827199439382,0.14603891767110583,0.0076731480247067265,0.07552002040402347,0.0642055668517574
house_16H,MLP,0.6160472916919627,0.04581507452524587,32927.98450427684,3235.603084805225,16261.187729916443,1151.7516082721265,0.8156074733293339,0.01902721383748584
house_16H,Linear-MLP,0.5746836700380393,0.05347055947767573,34668.506838675865,3719.1116559192164,17245.683559491492,1248.476795547388,0.7930756535437269,0.0241699545104804
house_16H,Identity-MLP,0.6104584034591432,0.042330701360172085,33155.02614487605,3013.1322829907763,16752.13078396387,941.7955047380144,0.7952443220820615,0.022785051293252118
house_16H,NoAct-MLP,0.5983541414494473,0.05143632946684357,33684.85640138162,3519.6516666252796,16777.853384104466,1152.3138273536902,0.8062819207066584,0.019232358137523227
house_16H,IdentityNoAct-MLP,0.6141847500334093,0.044628565835184514,32996.032035595264,3074.224993517536,16284.389571977614,1134.2009597034082,0.8156239096810426,0.01859410828704938
house_16H,RW-MLP,0.6046011937422672,0.05288878158219919,33346.27540577158,2924.011165223377,16504.366774241666,1090.2160340420721,0.8121768168618282,0.02235416274230137
SWD,MLP,0.39185491397096295,0.08158258863232629,0.6333858945473094,0.03846896495999647,0.5178270767595907,0.031503446614151366,0.6344703601240032,0.07170282559783016
SWD,Linear-MLP,0.393280212447899,0.0836795290099771,0.6328350459857178,0.04486808211031385,0.5125213236788322,0.03430278755278421,0.6280721959731632,0.06370156567809711
SWD,Identity-MLP,0.35662698368530843,0.10453875219501693,0.6512178531013061,0.05594421254456035,0.5304611940899745,0.047926360240912166,0.5945367230205878,0.08261199359722302
SWD,NoAct-MLP,0.39573995741067747,0.08476806806678219,0.6313907654503278,0.0430496596300857,0.5110983989311312,0.03330199471779103,0.6315776418146827,0.05937493228816343
